id,dataset,question,option_0,option_1,option_2,option_3,probing_accuracy,logits,prediction,gold,bertscore_f1,heuristic_dependence_score,reasoning_score,context_fidelity_score,shap_score,contrastive_prediction_original,contrastive_prediction_swapped,contrastive_robust
1807,RACE-H,We can infer from the passage that the author believes that   _  .,every young man and woman should go to college,college education is a bad thing,people with a college education should receive higher pay,fewer people should go to college while more should be trained for skilled jobs,0.16,"[-22.21663723140955, -17.809948325157166, -29.34772178530693, -54.80803142488003]",1,3,0.8599893,0.75,2.865,0.0,3.7,B,C,False
1808,RACE-H,"The author tells us that to succeed in a project you are in charge of, you should   _  .",make everyone work for you,get everyone willing to help you,let people know you have the final say,keep sending out orders to them,0.16,"[-18.674299120903015, -17.18595091998577, -25.293931990861893, -36.44380521774292]",1,1,0.99999994,1.0,1.519,1.0,1.926,B,C,False
1809,RACE-H,It can be inferred   that   _  .,Jackie Gleason is the director of the film Nothing in common,Jackie Gleason is very angry when he is fired from his job,"Max, a character in a film, is in very low spirits  when he loses his job",Jackie Gleason is the writer of the film Nothing in common,0.16,"[-47.36176751751918, -47.3009082992794, -59.95790310204029, -48.18946079921443]",1,2,0.8793518,0.75,1.071,0.0,1.266,B,C,False
1810,RACE-H,Why did Gleason call the director over and smile at him? That's because Gleason   _  .,thought his wonderful idea was accepted by the latter,succeeded in hitting upon (or think of) a wonderful idea,was confident (certain) about his work the next day,appreciated  the latter's way of directing films,0.16,"[-41.80218135565519, -85.87234872579575, -40.97167731821537, -72.04951663315296]",2,3,0.84574306,1.0,3.883,1.0,4.49,C,B,False
1811,RACE-H,The most suitable (or proper) title for the passage is   _  .,Directing a Film,The Key to Success,A Wonderful Experience,Working with Film Stars,0.16,"[-20.16833597421646, -15.608754426240921, -23.62497043609619, -28.284979462623596]",1,1,1.0,0.75,0.929,0.0,1.268,B,C,False
1812,RACE-H,What does the author think Joe Temper should be to blame for?,He should have equipped his car with a security system.,He should not have his car refilled at the gas station.,He should not have been so sure of himself..,He should have shut down the engine of his car.,0.16,"[-25.88076275587082, -40.535425163805485, -36.530041575431824, -34.839086055755615]",0,2,0.8815863,1.0,1.072,1.0,1.465,A,D,False
1813,RACE-H,What is NOT a reason for the increase of car theft as mentioned in the passage?,Police don't give enough attention to car theft cases.,More people parked their cars and left the keys inside.,Measures and laws against car thieves are not effective enough.,Car theft brings car thieves much money.,0.16,"[-31.71530774049461, -37.30261577665806, -65.66404393315315, -39.76265701651573]",0,1,0.8703458,1.0,2.612,0.0,3.395,A,D,False
1814,RACE-H,It is obvious that the Michigan program  _  .,has an effect on the whole USA,involves the development of a new safety system,involves the construction of larger prisons,involves much work but proves to be quite effective,0.16,"[-32.54515713453293, -44.5552788823843, -50.41925086081028, -53.81623666733503]",0,3,0.84689426,0.75,1.619,0.0,2.127,A,D,False
1815,RACE-H,What type (s) of safety system can help the police find a stolen car back?,The device that sends out radio signals.,The device that disables the fuel pumps.,The device that disables the starter.,All of the above.,0.16,"[-29.51509490609169, -34.56311756197829, -33.240179656189866, -18.91912454366684]",3,0,0.85314083,1.0,1.228,0.0,1.564,D,A,False
1816,RACE-H,Which of the following descriptions about Shanghai Super Star is NOT true?,It serves customers both at home and abroad.,It can provide business assistants if necessary.,Interpreting and translation are its main business.,Its interpreters and translators are all English majors.,0.16,"[-32.387654293328524, -43.59730935096741, -33.82307316176593, -41.29198611644097]",0,3,0.85272723,0.0,0.953,0.0,1.121,A,D,False
1817,RACE-H,The two comments in the passage are intended to indicate    .,Susan is very professional and can meet the needs of different customers,American customers have a preference for Shanghai Super Star,Shanghai Super Star enjoys a good reputation among customers,Shanghai Super Star provides combination service for customers,0.16,"[-35.960193671286106, -39.101961240172386, -55.15468364953995, -55.44364373385906]",0,2,0.88174576,0.75,1.791,0.0,1.948,A,D,False
1818,RACE-H,Grade inflation is spreading because    _   .,it's poisoning the learning environment,instructors intend to improve their overall teaching quality,many instructors adapt to the students' expectations,students get easy access to sites like RateMyProfessors.com,0.16,"[-23.118076395243406, -67.32334452867508, -32.96510165929794, -54.22469578962773]",0,2,0.8973841,0.0,3.472,0.0,4.421,A,D,False
1819,RACE-H,The passage suggests that    _   .,universities will employ hard graders,"if we want to be happy, we should be ignorant",A's are becoming easy to earn at most US universities,professors and instructors should give students higher grades,0.16,"[-63.47777377255261, -34.05317774415016, -35.26771414279938, -48.262608014047146]",1,2,0.8341467,0.25,2.38,0.0,2.942,B,C,False
1820,RACE-H,The writer tends to    _   .,favor easy graders,see grade inflation as unavoidable,oppose Kaplan Test Prep,miss the days when A's were hard to earn,0.16,"[-29.222190152853727, -19.70988190639764, -37.57140740659088, -31.356228470802307]",1,3,0.83736557,0.25,1.283,0.0,1.786,B,C,False
1821,RACE-H,How did the author find the trip to her friend's house?,Interesting and impressive.,Interesting and comfortable.,Easy and exciting.,Rough but very exciting.,0.16,"[-43.53808903694153, -45.3087899684906, -26.061755895614624, -49.5199111700058]",2,3,0.9375131,0.0,1.791,0.0,2.346,C,B,False
1822,RACE-H,The purpose of the trip for the author is to  _  .,enjoy the quiet and beautiful nature,continue her search for special things,give herself a chance to think alone,go hiking in the mountains with her friend,0.16,"[-39.11526024341583, -30.728374361991882, -27.953292407095432, -26.666434705257416]",3,2,0.86087763,1.0,0.969,0.0,1.245,D,A,False
1823,RACE-H,What is the main idea of the passage?,Her close friend.,The peaceful life.,A favorite trip.,The distant village.,0.16,"[-30.684406518936157, -23.868546962738037, -32.354642391204834, -29.616071224212646]",1,2,0.89929736,0.75,0.638,0.0,0.849,B,C,False
1824,RACE-H,"From what Cody said, we can learn the children   _  .",were not in front of their father,don't look after their father,foresaw their father would go,surrounded their father,0.16,"[-24.325379572808743, -24.157985921949148, -23.622498393058777, -35.65014600753784]",2,2,0.99999994,0.0,1.007,1.0,1.203,C,B,False
2875,RACE-H,"What prevents Mary, aged 25, becoming an air hostess?",She once broke a traffic law and was fined,She can't speak Japanese very well.,She has never worked as an air hostess before.,She doesn't feel like working long hours flying abroad.,0.08,"[-37.08523690700531, -26.24249992519617, -17.601815523812547, -39.2329181835521]",2,3,0.88030815,0.5,1.741,0.0,2.163,C,B,False
2876,RACE-H,Which of the following is not mentioned in the three advertisements?,Marriage.,Male or female.,Education.,Working experience.,0.08,"[-35.45726728439331, -16.294702768325806, -15.049433708190918, -20.168677806854248]",2,0,0.99810195,0.0,1.628,0.0,2.041,C,B,False
2877,RACE-H,"According to the passage, we can know George is   _  .",clever,honest,kind-hearted,bad-tempered,0.08,"[-27.076272010803223, -25.75109100341797, -16.175660310313106, -14.805168270366266]",3,0,0.814284,0.0,1.101,1.0,1.227,D,A,False
2878,RACE-H,Wellington Koo's experience is mentioned to show   _  .,his talent in speaking English,people's assumption can be false,the Chinese were looked down on,his humor in doing with difficult situations,0.08,"[-25.976805925369263, -26.603589832782745, -31.260489404201508, -47.46541941165924]",0,1,0.84077907,0.75,1.739,0.0,2.149,A,D,False
2879,RACE-H,Red roses are so popular at the market in that   _  .,women prefer red roses.,women like the red color1 best.,they smell pleasant than others.,men think women would like them.,0.08,"[-14.715131849050522, -29.14040505886078, -37.90128380060196, -24.808340787887573]",0,3,0.89694077,0.5,1.669,0.0,2.319,A,D,False
2880,RACE-H,How is this passage mainly developed?,By giving examples.,By presenting research results.,By analyzing causes.,By making comparisons.,0.08,"[-14.774209380149841, -26.603869438171387, -23.99810028076172, -17.26485240459442]",0,0,0.99999994,0.0,0.963,0.0,1.183,A,D,False
2881,RACE-H,Why did Brian Wansink write Slim by Design: Mindless eating Solutions for Everyday Life?,Because he wanted people to become thin.,Because he wished to change the design of public places.,"Because he hoped to coin a new phase ""mindless eating"".",Because he intended to help people make more healthful dietary decision.,0.08,"[-33.66346348077059, -37.486032735556364, -64.7805110514164, -43.99862070567906]",0,3,0.9046877,0.5,2.403,0.0,3.112,A,D,False
2882,RACE-H,"According to Wansink, which of the following affects the amount of wine we drink:   _  .",the shape of wineglasses,the color of wineglasses,the taste of wine,the quality of wine,0.08,"[-14.590621773852035, -18.06533574149944, -14.333308011293411, -15.177383944392204]",2,0,0.9121666,1.0,0.298,1.0,0.373,C,B,False
2883,RACE-H,What's the main idea of the passage?,Changing environment or habits of eating will help you eat less.,Eating fruits and vegetables is better for your health.,Keeping your kitchen counter clear of any food will help make you thin.,Many people eat or drink too much without paying attention to it.,0.08,"[-38.447203144431114, -49.87097296863794, -48.89431321620941, -37.35035478323698]",3,0,0.877198,0.5,1.153,1.0,1.252,D,A,False
2884,RACE-H,The passage is mainly about  _  .,communication types,the workplace atmosphere,customs and social manners,1iving conditions and standards,0.08,"[-21.42275905609131, -22.467153549194336, -32.041738986968994, -39.73546838760376]",0,2,0.86754483,0.25,1.499,0.0,1.831,A,D,False
2885,RACE-H,Why do Singaporeans avoid arguing with their boss?,They put efficiency in the first place.,They dislike face-to-face communication.,They want to finish meetings as quickly as possible.,They are supposed to obey the person of a higher rank.,0.08,"[-27.846299596130848, -22.51088023139164, -27.43013753183186, -35.727100771386176]",1,3,0.88934606,0.5,0.947,0.0,1.322,B,C,False
2886,RACE-H,"In the UAE, when should you refuse the coffee if it is offered?",When greeting seniors.,When meeting the host alone.,When attending a presentation.,Whendining with business partners.,0.08,"[-25.153245329856873, -25.215588808059692, -22.814162254333496, -49.27636671066284]",2,1,0.9200802,0.75,2.164,0.0,2.646,C,B,False
2887,RACE-H,In which country do people care about where to put their hands at the dinner table?,In Brazil.,In Singapore.,In the United Arab Emirate.,In Switzerland.,0.08,"[-13.456202745437622, -12.868310689926147, -22.508540853857994, -12.065021753311157]",3,3,0.9999999,1.0,0.847,1.0,1.044,D,A,False
2888,RACE-H,What is mainly described in the passage ?,A historic discovery .,An event of imagination,A research on space .,A scientific adventure .,0.08,"[-28.88708996772766, -30.562211990356445, -33.01280641555786, -26.720925092697144]",3,1,0.85760456,0.75,0.461,1.0,0.629,D,A,False
2889,RACE-H,"When the first piece hits the South Atlantic , it causes_.",an earthquake,damages to cities,an Earth explosion,huge waves,0.08,"[-10.24668550491333, -39.8559844493866, -22.1886568069458, -12.572219848632812]",0,3,0.87935865,0.5,2.331,0.0,2.961,A,D,False
2890,RACE-H,Why can't the northern half of the earth escape for long ?,Because the land is covered with water,Because the light and heat from the sun can not reach the earth .,Because people there can not live at the temperature of zero .,Because wars break out among countries .,0.08,"[-25.67776608467102, -41.978751838207245, -48.92261028289795, -32.33240059949458]",0,1,0.8711276,0.75,1.78,0.0,2.324,A,D,False
2891,RACE-H,This passage aims to    _   .,make comments on films for a cinema,introduce films for a film corporation,recommend several films for fun,advertise several films for a website,0.08,"[-39.78345715999603, -56.60378980636597, -38.773053884506226, -49.243640542030334]",2,0,0.88292193,0.75,1.462,1.0,1.783,C,B,False
2892,RACE-H,"If you bring your seven-year-old sister to the cinema, which of the following film should you avoid?",Away We Go.,Orphan.,2012.,500 Days of Summer.,0.08,"[-38.97179002687335, -20.017057180404663, -17.590272903442383, -17.35017238277942]",3,1,0.86111945,0.25,1.801,1.0,2.162,D,A,False
2893,RACE-H,"Among all the characters mentioned in the passage, who directed films in Hollywood?",Roland Emmerich.,Tom and Summer.,Burt and Verona.,Esther.,0.08,"[-35.67688872940198, -31.114280939102173, -36.87975072860718, -40.2959680557251]",1,2,0.9005947,0.0,0.657,0.0,0.918,B,C,False
2894,RACE-H,Which of the following statements is TRUE according to the passage?,Orphan is a comedy about Esther adopted by a kind family.,500 Days of Summer is a romance with a happy ending.,Away We Go shows beautiful scenery on the young couple's journey.,The ancient Mayan prediction is going to happen in 2012.,0.08,"[-69.60131302475929, -35.79420494567603, -81.13831432163715, -45.75960988551378]",1,0,0.8650599,1.0,3.623,0.0,4.534,B,C,False
2895,RACE-H,The recent scientific studies have shown that plants can   _  .,communicate with other living things in a chemical way,hardly react to any sudden change in temperature,use a very special chemica1 language which is familiar to us,respond to the attack by giving off poisonous chemicals,0.08,"[-44.24797231703997, -46.01650148630142, -60.09397527575493, -30.33431625366211]",3,0,0.8558193,0.75,2.108,0.0,2.976,D,A,False
2896,RACE-H,"When being eaten by an insect, the plant will   _  .",walk away from trouble,change its chemistry to kill the insect,"release a chemical vapor to ""ask"" other plants for help",give off nice chemicals to attract friendly insects killing the pest,0.08,"[-14.50083340704441, -15.490423619747162, -31.890092186629772, -41.10843348503113]",0,3,0.84110695,0.75,2.248,1.0,2.661,A,D,False
2897,RACE-H,Which would be the best title for the passage?,Communication between Plants,"A Chemical ""Language""",Plants Can Talk,How Plants Protect Themselves,0.08,"[-41.120641469955444, -25.098303616046906, -35.80067300796509, -23.620363962370902]",3,2,0.83731455,0.25,1.463,1.0,1.75,D,A,False
2898,RACE-H,Which of the following is TRUE according to the passage?,The US soldiers used the chocolate bars as bath soap.,The US army produced more chocolate bars than necessary for its soldiers.,The US soldiers did not have enough food during World War II.,European people regretted eating chocolate bars from the US soldiers.,0.08,"[-33.14725315570831, -34.278012692928314, -32.08836040622555, -48.85762047767639]",2,1,0.8971682,1.0,1.367,0.0,1.677,C,B,False
2899,RACE-H,Why does the author mention the German kids' story?,To tell how friendly the American soldiers were.,To show how much they were eager for chocolate.,To prove German kids could be very polite.,To describe the hunger in Germany during the war.,0.08,"[-32.9550441801548, -32.03984397649765, -41.28348386287689, -33.48995557427406]",1,3,0.8855323,1.0,0.74,1.0,0.924,B,C,False
3175,RACE-H,Only a small part of the Sun's energy reaches the Earth's surface because most of it is  _  .,absorbed by the clouds in the lower atmosphere,reflected by the gases in the upper atmosphere,lost in the upper and lower atmosphere,used to evaporate water from the oceans and lakes,0.28,"[-33.541281912475824, -26.72805442288518, -22.57877131551504, -16.414582003373653]",3,2,0.86469823,1.0,1.246,1.0,1.713,D,A,False
3176,RACE-H,We learn from the passage that  _  .,all living things on the Earth depend on the Sun for their food,a forest looks dark in winter because it absorbs solar energy,only 0.023% of the energy from the Sun is made use of on the Earth,greenhouse gases allow heat energy to escape from the Earth's surface,0.28,"[-27.18130525946617, -31.51237004995346, -34.453025999478996, -35.735305461101234]",0,0,1.0,1.0,0.658,0.0,0.855,A,D,False
3177,RACE-H,China will build a nation-wide network in order to  _  .,monitor the impact of air pollution on health,improve air quality,improve air pollution,increase the PM 2.5,0.28,"[-6.609035514295101, -7.648562468588352, -10.692497372627258, -30.62414526124485]",0,0,0.99999994,0.25,1.955,1.0,2.402,A,D,False
3178,RACE-H,China will take measures to deal with air pollution except  _  .,China recently issued a 1.75 trillion-yuan (284.2 billion U.S. dollars) plan,set up monitoring spots in 16 provinces and municipalities,improveliving standard,improve the air in major city clusters,0.28,"[-14.458974619927176, -24.211925119161606, -35.373353481292725, -18.465353136882186]",0,2,0.7876571,0.75,1.575,1.0,2.091,A,D,False
3179,RACE-H,The experiment with 26 sleeping infants prove that  _  .,babies can learn even while asleep,babies can respond to the world around them,babies can tighten their eyelids in response to the sound,babies can communicate with others while asleep,0.28,"[-31.303929083049297, -37.72585191670805, -45.91094125434756, -41.18493801355362]",0,0,1.0,0.75,1.065,0.0,1.461,A,D,False
3180,RACE-H,"In the last experiment, most babies chose the helper character, showing that  _  .",babies can judge a person helpful or harmful,babies love to see a puppet show,babies were born to help others,babes have learned to help others,0.28,"[-42.32001321017742, -48.714940786361694, -39.430763363838196, -39.04208153486252]",3,0,0.84491163,1.0,0.774,1.0,0.967,D,A,False
3181,RACE-H,Children play with Webster toys   _  .,only in countries far away from each other,in countries all over the world,in only four countries of the world,everywhere except in the Far East,0.28,"[-31.680473955348134, -16.853528503328562, -27.578497767448425, -33.680999387055635]",1,1,1.0,0.0,1.3,0.0,1.683,B,C,False
3182,RACE-H,The person will speak   _  .,English and only one other language,English or any other language,English or any other Far Eastern language,English and a Far Eastern language,0.28,"[-18.56410674750805, -15.259699046611786, -21.966408640146255, -18.602556496858597]",1,3,0.8488747,0.25,0.474,0.0,0.671,B,C,False
3183,RACE-H,"""Someone who can stand on his own feet"" means   _  .",someone who does not stand on others' feet,someone who can understand money,someone who can work by himself,someone who understand many language,0.28,"[-26.058038294315338, -20.964397341012955, -18.96528620272875, -33.32911756634712]",2,2,1.0,1.0,1.109,0.0,1.436,C,B,False
3184,RACE-H,The main reasons for Coteborg University's popularity according to the passage is   _   .,the high quality education and research and the wide range of courses,the convenient traffic,its excellent location and fast developing economical environment,famous professors and friendly students,0.28,"[-21.709307310171425, -27.799074172973633, -50.99844229221344, -28.79232168197632]",0,0,1.0,0.5,2.223,1.0,2.929,A,D,False
3185,RACE-H,Which of the following statements is true?,The university is in the city centre.,The students can live outdoor.,The cultural life of the university is very rich.,The University has no interest in growing demands of society.,0.28,"[-20.310140192508698, -38.18602228164673, -29.367832735180855, -49.11718975752592]",0,2,0.91063553,1.0,2.132,0.0,2.881,A,D,False
3186,RACE-H,What's the main purpose of this passage?,To bring fame to Coteborg University.,To introduce the wonderful cultural life in Coteborg University.,To declare Coteborg University's goal and interest.,To attract students all over the world to apply for Coteborg University.,0.28,"[-28.197017010767013, -33.97135780251119, -38.90320543362759, -34.30449281906476]",0,3,0.91716003,0.5,0.76,0.0,1.071,A,D,False
3187,RACE-H,Both experiments show that_.,Rico is smart enough to get all commands right,Rico can recognize different things including toys,Rico has developed the ability of learning mathematics,Rico won't forget the names of objects once recognizing them,0.28,"[-49.46328276395798, -55.890806436538696, -57.284359097480774, -58.24953278154135]",0,1,0.88099694,0.0,0.686,1.0,0.879,A,D,False
3188,RACE-H,Which of the following statements is true?,The purpose of the experiments is to show the border collie's mental abilities.,Rico has a better memory partly because of its proper early training.,The border collie is world-famous for recognizing objects.,Rico is born to understand its owner's commands.,0.28,"[-51.44512119330466, -79.69115656614304, -41.26885952055454, -56.61087849736214]",2,1,0.86858994,1.0,2.816,0.0,3.842,C,B,False
3189,RACE-H,What does the writer want to tell us?,To train your dog.,To talk with your dog.,To be friendly to your dog.,To be careful with your dog.,0.28,"[-22.555211022496223, -22.49821788072586, -26.368141785264015, -23.35442316532135]",1,2,0.9462134,1.0,0.316,1.0,0.387,B,C,False
3190,RACE-H,This passage is written for those who want to   _  .,seek learning skills,find positive people as friends,make their mind pure,get mentally peaceful and relaxed,0.28,"[-28.820804119110107, -27.68703830242157, -21.45154881477356, -26.538410425186157]",2,3,0.887063,0.25,0.563,0.0,0.737,C,B,False
3191,RACE-H,Which of the following should NOT be done according to the five techniques?,Stay with positive people.,Care about the business of strangers.,Be sincere with others and never care too much about them.,Believe in the magic power of what the present can bring you.,0.28,"[-23.78198902308941, -38.90883457660675, -45.3429019623436, -75.53536681830883]",0,1,0.88955706,0.75,3.764,0.0,5.175,A,D,False
3192,RACE-H,When did Lang Lang perform his first public recital?,In 1989,In 1987,In 1999,In 1990,0.28,"[-13.839492797851562, -14.344331741333008, -12.243060827255249, -13.687311172485352]",2,1,0.9624728,0.0,0.156,1.0,0.21,C,B,False
3193,RACE-H,When did Lang Lang and his father come to Beijing?,To hold more concerts,To perform on the global stage,To find a good job,To realize his dream,0.28,"[-28.39587414264679, -25.75170261412859, -25.83755874633789, -19.688286513090134]",3,3,0.9999999,1.0,0.64,0.0,0.871,D,A,False
3194,RACE-H,What happened to Lang Lang when he was in Bejing?,He got more praises from others,He damaged his hands.,He had difficulty in making progress,He lost his talent in piano,0.28,"[-33.40818786621094, -25.146359860897064, -29.632590532302856, -26.31028240919113]",1,2,0.8848643,1.0,0.643,0.0,0.826,B,C,False
3195,RACE-H,This year's drought in California is mainly caused by_.,The lack of rainfall last winter.,Its residents' excessive water use.,The historically low temperature last winter.,The reduction of snowpack on the Sierra Nevada,0.28,"[-19.990615446586162, -27.271175146102905, -30.83136674761772, -20.205661684274673]",0,1,0.89572394,0.0,0.93,1.0,1.084,A,D,False
3196,RACE-H,Why will local government remove the 50 million square feet of lawns?,To get rid of dry grass,To decrease the use of water,To develop the land for water storage,To grow plants that can block rainstorms,0.28,"[-24.07670001545921, -23.808430310338736, -35.79861402511597, -43.14636327326298]",1,0,0.90505993,0.75,1.638,1.0,1.934,B,C,False
3197,RACE-H,"According to the new order, Californians should_.",Water their lawns every three or four days.,Avoid watering their lawns before rainstorms.,Take mandatory lessons on water conservation.,Keep the emergency rules for water use in mind,0.28,"[-24.291168954223394, -28.436696089804173, -37.47942399978638, -31.137041062116623]",0,2,0.8515114,0.5,0.958,0.0,1.319,A,D,False
3198,RACE-H,What is the main idea of this passage?,Cell phones offer 24-hour availability.,Cell phones get life and work mixed.,Women don't use cell phones in an effective way.,Men are better at dealing with family problems.,0.28,"[-29.273425042629242, -34.82960784435272, -34.00657579652034, -31.44502209313214]",0,1,0.8901113,0.5,0.438,1.0,0.556,A,D,False
3199,RACE-H,What is the author's attitude towards round-the-clock availability of the cell phone?,Curious,Positive,Subjective,Objective,0.28,"[-35.20795917510986, -38.8076171875, -18.26568603515625, -38.65835380554199]",2,3,0.85139996,0.0,1.695,0.0,2.054,C,B,False
1625,RACE-H,The gentleman dismissed the other boys because  _  .,they didn't pick up the book lying on the floor,they pushed and crowded,they were impolite,all the above,0.4,"[-31.650778277777135, -19.787776112556458, -18.966136577771977, -19.970957159996033]",2,3,0.81260765,0.5,1.049,0.0,1.268,C,B,False
1626,RACE-H,"According to the passage, we know that the gentleman hired the boy  _  .",not by his letters but by his good manners,by the relationship between them,by the feelings,by his letters,0.4,"[-29.592440873384476, -29.00021243095398, -23.774741888046265, -19.481653451919556]",3,0,0.87668097,0.5,0.826,0.0,1.011,D,A,False
1627,RACE-H,We can learn from the passage that   _,all the theme parks are creating the fast roller coasters,the Smiler sends out passengers from 0-240km/h in just 4.9 seconds,it is unusual for fighter pilots to feel up to 4.8G,"the more the money is spent, the faster the roller coaster can go",0.4,"[-39.22077842487488, -24.20784382056445, -42.2282166974619, -39.00304437056184]",1,3,0.82874775,0.75,1.404,1.0,1.802,B,C,False
1628,RACE-H,"The feature of the ""coal-mine-themed"" ride is",3Dtechnologies,indoor rides,G-forces,dynamic structures,0.4,"[-28.354910902678967, -37.870511293411255, -12.15877062547952, -38.26478910446167]",2,0,0.8414043,0.0,2.118,0.0,2.611,C,B,False
1629,RACE-H,What is the best title for the passage?,The Fastest Roller Coaster,The Smiler and G-forces,Screaming for Fun,The New Technology,0.4,"[-19.778520796447992, -27.3879731958732, -44.462317943573, -25.253126621246338]",0,2,0.79454714,1.0,1.845,1.0,2.468,A,D,False
1630,RACE-H,We should take good care of our eyes  _  .,only when we can see well,only when we cannot see perfectly,even if we can see well,only when we realize how important our eyes are,0.4,"[-24.473892599344254, -23.346036434173584, -22.358800411224365, -28.647752985358238]",2,2,1.0,1.0,0.479,0.0,0.629,C,B,False
1631,RACE-H,". When things far away seem indistinct  , one is probably  _  .",near-sighted,far-sighted,astigmatic,suffering from cataracts,0.4,"[-13.23616098612547, -15.053764052689075, -16.747451305389404, -34.377909543924034]",0,0,1.0,0.0,1.695,0.0,2.114,A,D,False
1632,RACE-H,Having two eyes instead of one is particularly useful for  _  .,seeing at night,seeing objects far away,looking over a wide area,judging distances,0.4,"[-16.323954939842224, -19.27966606616974, -26.71400809288025, -28.725774884223938]",0,3,0.86089444,0.25,1.024,0.0,1.24,A,D,False
1633,RACE-H,People who suffer from astigmatism have  _  .,one eye bigger than the other,eyes that are not exactly the right shape,a difficulty that can be corrected by an operation,an eye difficulty that cannot be corrected by glasses,0.4,"[-23.394849088508636, -19.56861563771963, -31.018169105052948, -30.44322880357504]",1,1,1.0,0.25,0.965,1.0,1.145,B,C,False
1634,RACE-H,Who wrote this passage?,A reporter.,A sportsman.,A patient.,A professor.,0.4,"[-18.567880153656006, -22.49357843399048, -19.797800064086914, -16.974869966506958]",3,3,1.0,1.0,0.404,0.0,0.552,D,A,False
1635,RACE-H,The writer thinks there is no use worrying about some causes of nervousness because_.,most are not very important,they are not the real causes of the problem,they cannot be controlled by people,it's better to deal with one cause at a time,0.4,"[-21.550615429878235, -22.66286188364029, -19.194271743297577, -23.73948453873163]",2,2,1.0,0.75,0.337,1.0,0.455,C,B,False
1636,RACE-H,"If swimming makes you nervous, what should you do according to the writer?",Go swimming often to get used to it.,Avoid going to the swimming pool.,Find a swimming teacher.,Imagine watching others swim.,0.4,"[-27.055736288195476, -23.689039055258036, -24.636539816856384, -28.15216076374054]",1,0,0.89010304,0.75,0.359,0.0,0.446,B,C,False
1637,RACE-H,What is TRUE about nervousness according to the passage?,It usually has only one cause.,It is usually caused by people.,People can easily manage it.,Most people suffer from it.,0.4,"[-29.099470555782318, -27.890128295868635, -31.10478913784027, -23.47345307469368]",3,3,1.0,0.25,0.559,0.0,0.763,D,A,False
1638,RACE-H,What is the main purpose of this passage?,To introduce the writer's sports experience.,To advise on how to deal with nervousness.,To help people remember their fears.,To explain the dangers of nervousness.,0.4,"[-35.66526424884796, -27.046028180979192, -27.712011456489563, -25.159930761903524]",3,1,0.9385889,0.5,0.804,1.0,1.051,D,A,False
1639,RACE-H,What can we learn about Szilard and Wigner?,They were not as influential as Einstein.,They had cheated their friend Einstein.,They were to blame for the invention of nuclear weapons.,They had a purpose of destroying the world.,0.4,"[-25.45398172736168, -38.66588366031647, -36.164760798215866, -36.895609855651855]",0,0,1.0,0.25,1.037,0.0,1.321,A,D,False
1640,RACE-H,Einstein realized his mistake in   _  .,co-operating with his workmates,inventing the atomic bomb,publishing his equation,signing the letter to Roosevelt,0.4,"[-29.517058294266462, -23.05734958173707, -35.59541964530945, -27.230354100465775]",1,3,0.854209,0.5,0.906,0.0,1.254,B,C,False
1641,RACE-H,We can conclude that Einstein   _  .,assisted with the invention of atomic bomb,directly participated in the invention of the atomic bomb,was not involved in the invention of atomic bomb at all,contributed to the invention of atomic bomb,0.4,"[-27.3262013271451, -34.23547748290002, -29.63919425010681, -37.85222236812115]",0,3,0.9697202,0.5,0.815,0.0,1.053,A,D,False
1642,RACE-H,Please decide the order of the following events according to the passage.,"c,e,a,f,b,d","a,e,b,d,f,c","e,c,a,f,d,b","e,c,b,f,a,d",0.4,"[-38.45757442712784, -39.91424506902695, -39.52513748407364, -39.15858447551727]",0,2,0.9787726,0.0,0.107,1.0,0.146,A,D,False
1643,RACE-H,The best title for the passage would be   _  .,A Story of Albert Einstein,Albert Einstein and the Atomic Bomb,It was Unfair for Einstein,How the Atomic Bomb was Invented,0.4,"[-28.753972504287958, -17.955791793763638, -34.461554646492004, -29.135007927310653]",1,1,1.0,1.0,1.199,0.0,1.651,B,C,False
1644,RACE-H,"A ""developmental"" disability   _  .",develops very slowly over time,is caused by forces,occurs in youth and affects development,is getting more and more severe,0.4,"[-36.02558636665344, -16.659939765930176, -44.04118633270264, -23.876537626609206]",1,2,0.84852004,0.75,2.119,0.0,2.738,B,C,False
1645,RACE-H,Most disabled people used to die early because   _  .,disabilities destroyed major bodily functions,they were not very well looked after,medical techniques were not available,they were too poor to get proper treatment,0.4,"[-43.52550479769707, -21.82384778559208, -19.807045459747314, -20.92594739794731]",2,2,1.0,0.25,1.969,1.0,2.372,C,B,False
1646,RACE-H,"In the author's opinion, to enable the disabled people to take their rightful place in society,   _  .",more laws should be passed,public attitudes should be changed,government should provide more aids,more public facilities should be set up,0.4,"[-14.886300966143608, -16.435714840888977, -27.036306381225586, -27.734129041433334]",0,1,0.91804695,0.0,1.179,0.0,1.285,A,D,False
1647,RACE-H,Which of the following cannot be inferred from the passage ?,Many disabled people may remain single for their whole life.,The public tends to look down upon the disabled people.,The disabled people feel inferior to those surrounding them.,Discriminatory laws prevent the disabled from mixing with others.,0.4,"[-42.77076444029808, -35.61292126774788, -41.74643163289875, -38.612050876021385]",1,3,0.8871466,0.75,0.561,0.0,0.716,B,C,False
1648,RACE-H,The best title for this passage might be   _  .,Handicaps of People with Disabilities,The physical difficulties of the Disabled,The Causes for Disabilities,Medical Treatments for Disabilities,0.4,"[-24.257382776850136, -32.62025237083435, -23.458207368850708, -23.645538717508316]",2,0,0.8848173,0.75,0.767,1.0,0.916,C,B,False
