id,dataset,question,option_0,option_1,option_2,option_3,probing_accuracy,logits,prediction,actual,bertscore_f1,heuristic_dependence_score,reasoning_score,context_fidelity_score,shap_score,contrastive_prediction_original,contrastive_prediction_swapped,contrastive_robust
71,SATACT,Which choice completes the text with the most logical and precise word or phrase?,complimented by,uncertain about,unbothered by,inspired by,0.32,"[-34.35821998119354, -37.47090005874634, -23.647614300251007, -15.585660934448242]",3,2,0.92277396,0,1.741,0,2.189,D,A,FALSE
72,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,Umuofia’s traditions will be affected.,will Umuofia’s traditions be affected.,Umuofia’s traditions will be affected?,will Umuofia’s traditions be affected?,0.32,"[-46.75735813379288, -35.09431071579456, -44.7598996758461, -30.88904871046543]",3,3,0.9246661,0,1.318,1,1.587,D,A,FALSE
73,SATACT,Which quotation from O Pioneers! most effectively illustrates the claim?,"“She looked fixedly up the bleak street as if she were gathering her strength to face something, as if she were trying with all her might to grasp a situation which, no matter how painful, must be met and dealt with somehow.“","“She had never known before how much the country meant to her. The chirping of the insects down in the long grass had been like the sweetest music. She had felt as if her heart were hiding down there, somewhere, with the quail and the plover and all the little wild things that crooned or buzzed in the sun. Under the long shaggy ridges, she felt the future stirring.“","“Alexandra drove off alone. The rattle of her wagon was lost in the howling of the wind, but her lantern, held firmly between her feet, made a moving point of light along the highway, going deeper and deeper into the dark country.”","“Alexandra drew her shawl closer about her and stood leaning against the frame of the mill, looking at the stars which glittered so keenly through the frosty autumn air. She always loved to watch them, to think of their vastness and distance, and of their ordered march. It fortified her to reflect upon the great operations of nature, and when she thought of the law that lay behind them, she felt a sense of personal security.”",0.32,"[-170.9293987462297, -253.53490795521066, -225.51785844564438, -327.1747601944953]",0,3,1,1,11.265,0,15.625,A,D,FALSE
74,SATACT,Which choice best describes the overall structure of the text?,It presents alternating descriptions of night in a rural area and in a city.,"It sketches an image of nightfall, then an image of sunrise.",It makes an extended comparison of night to a human being.,It portrays how night changes from one season of the year to the next.,0.32,"[-61.66808804869652, -54.96393747255206, -54.760166227817535, -57.58967923000455]",2,1,0.88996303,1,0.557,1,0.691,C,B,FALSE
75,SATACT,Which quotation from a researcher would best support the student’s assertion?,"“In one site in the wild where transgenic fish were observed, females outnumbered males, while in another the numbers of females and males were equivalent.”","“Though some presence of transgenic fish in the wild has been recorded, there are insufficient studies of the impact of those fish on the ecosystems into which they are introduced.”",“The ecosystems into which transgenic fish are known to have been introduced may represent a subset of the ecosystems into which the fish have actually been introduced.”,"“Through interbreeding, transgenic fish might introduce the trait of fluorescence into wild fish populations, making those populations more vulnerable to predators.”",0.24,"[-113.46145930327475, -109.59145896229893, -100.96647112024948, -95.01862930227071]",3,3,0.8882388,1,1.443,1,1.844,D,A,FALSE
76,SATACT,"Which finding, if true, would most directly support Shcherbakova and colleagues' claim?",Shcherbakova and colleagues' analysis showed a slightly negative correlation between grammatical complexity and fusion and between grammatical complexity and informativity.,Shcherbakova and colleagues' analysis showed a slightly negative correlation between grammatical complexity and exotericity.,Shcherbakova and colleagues' analysis showed a slightly positive correlation between grammatical complexity and fusion.,Shcherbakova and colleagues' analysis showed a slightly positive correlation between fusion and exotericity and between informativity and exotericity.,0.24,"[-60.69021677703131, -46.65598962048534, -50.110575124272145, -70.60229557997081]",1,0,0.9587074,1,1.879,1,2.395,B,C,FALSE
77,SATACT,"In the sentence ""His glowing smile are evidence of his pride in the onions—the proof of his labor and love—and in me, the photographer, his son."", what is the best answer to replace the phrase ""are""?",NO CHANGE,is,were,OMIT the underlined portion.,0.24,"[-20.667067646980286, -9.050056457519531, -16.615842819213867, -35.7330596446991]",1,3,0.8517338,0.5,1.945,0,2.668,B,C,FALSE
78,SATACT,Which choice completes the text with the most logical and precise word or phrase?,stymie,compound,disparage,outstrip,0.24,"[-12.560928672552109, -28.869300842285156, -28.487381130456924, -19.042829513549805]",0,2,1,0,1.367,0,1.631,A,D,FALSE
79,SATACT,Which choice most logically completes the text?,most reviewers didn’t understand Grimes’s goal for One Last Word.,Grimes successfully used the golden shovel method to achieve her goal for One Last Word.,Langston Hughes and Georgia Douglas Johnson are two of Grimes’s favorite poets.,Grimes inspired many other writers to create poems using the golden shovel method.,0.24,"[-61.98348135352717, -64.09276072334615, -56.60571746528149, -63.28994583338499]",2,1,0.86136556,0.75,0.584,1,0.749,C,B,FALSE
80,SATACT,Which quotation from “To You” most effectively illustrates the claim?,“Your true soul and body appear before me.”,"“Whoever you are, now I place my hand upon you, that you be my poem.”",“I should have made my way straight to you long ago.”,"“Whoever you are, I fear you are walking the walks of dreams.”",0.24,"[-50.066719233989716, -74.39197981357574, -54.318478256464005, -71.05944314599037]",0,1,1.0000001,0.75,2.089,0,2.433,A,D,FALSE
81,SATACT,"In the sentence ""Intricate mosaics—enormous 'paintings' fashioned from millions of tiny cut stones of various colors—lining each of the basilica’s several smaller domes."", what is the best answer to replace the phrase ""lining""?",NO CHANGE,that line,line,lines,0.24,"[-19.996177792549133, -17.54976511001587, -12.484676361083984, -13.957630157470703]",2,0,0.84745985,0.25,0.591,0,0.751,C,B,FALSE
82,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,places,placed,place,to place,0.24,"[-14.94161319732666, -15.621749877929688, -13.101529121398926, -17.6527361869812]",2,3,0.99968165,0.25,0.326,0,0.455,C,B,FALSE
83,SATACT,Which quotation from “Valia” most effectively illustrates the claim?,"“The hand in which he carried his book was getting stiff with cold, but he would not ask his mother to take the book from him.”","“Valia was reading a huge, very huge book, almost half as large as himself.”",“Valia approached the window and examined the toys.”,"“Everything in the room was quiet, so quiet that the only thing to be heard was the rustling of the pages he turned.”",0.24,"[-111.19018054008484, -77.45759182423353, -59.763502802699804, -79.56762731820345]",2,2,0.8886612,1,3.706,0,5.143,C,B,FALSE
84,SATACT,Which choice best states the main idea of the text?,"Although inhabiting a home surrounded by fanciful features such as those designed by Gins and Arakawa can be rejuvenating, it is unsustainable.",Designing disorienting spaces like those in the Gins and Arakawa building is the most effective way to create a physically stimulating environment.,"As a filmmaker, Yamaoka has long supported the designs of conceptual artists such as Gins and Arakawa.","Although impractical, the design of the apartment building by Gins and Arakawa may improve the well-being of the building's residents.",0.24,"[-88.40300689451396, -77.22792169917375, -67.55132441309979, -58.02328508824576]",3,3,0.90032506,1,2.256,1,3.038,D,A,FALSE
85,SATACT,"If the writer were to delete the phrase ""sixteen hours for a complete cycle of tides"" from the sentence, ""I knew that it took about eight hours for the tides to change from high to low, sixteen hours for a complete cycle of tides."" (ending the sentence with a period), what detail would the essay would primarily lose?",shows how the narrator's interests are different from the mother's interests.,contradicts a point made earlier in the paragraph.,helps establish the setting for the essay.,displays the narrator‚Äôs knowledge of tides.,0.24,"[-65.18280889838934, -74.71915137767792, -38.561957478523254, -91.61156851798296]",2,1,0.87473905,1,3.842,0,5.305,C,B,FALSE
86,SATACT,Which choice completes the text with the most logical transition?,"Specifically,","Similarly,","Nevertheless,","Hence,",0.24,"[-13.676947116851807, -13.25285792350769, -14.135913699865341, -26.288850724697113]",1,0,0.98803806,0,1.093,0,1.304,B,C,FALSE
87,SATACT,Which choice completes the text with the most logical and precise word or phrase?,haphazard,premeditated,inspirational,fruitless,0.24,"[-20.2027105987072, -17.046379923820496, -41.77725315093994, -19.23829746246338]",1,0,0.7981422,0,2,0,2.473,B,C,FALSE
88,SATACT,"In the sentence ""Edna Gellhorn witnessed a victory that year when votes for women would became part of the 1916 Democratic Party’s set of positions, or platform."", what is the best answer to replace the phrase ""set of positions, or""?",NO CHANGE,"set of positions, otherwise known as its",set of positions—its,OMIT the underlined portion.,0.24,"[-20.527877867221832, -38.40195716917515, -26.733612895011902, -34.12511920928955]",0,2,1,0.75,1.371,0,1.787,A,D,FALSE
89,SATACT,Which choice most logically completes the text?,increasing the number of medicinal plants represented in the vocabularies of Indigenous languages.,transmitting terms for medicinal plants from Indigenous languages to globally dominant languages.,preserving knowledge about the medicinal value of plants native to the tribal nations’ lands.,ensuring that citizens of tribal nations have physical access to medicinal plants.,0.24,"[-57.08384218811989, -74.4177902340889, -70.66385520296171, -70.34588029235601]",0,1,1,0.5,1.315,0,1.733,A,D,FALSE
90,SATACT,The student wants to emphasize a difference between baking soda and baking powder. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"To make batters rise, bakers use chemical leavening agents such as baking soda and baking powder.","Baking soda and baking powder are chemical leavening agents that, when mixed with other ingredients, cause carbon dioxide to be released within a batter.","Baking soda is pure sodium bicarbonate, and honey is a type of acidic ingredient.","To produce carbon dioxide within a liquid batter, baking soda needs to be mixed with an acidic ingredient, whereas baking powder does not.",0.24,"[-46.51947036664933, -45.60121211805381, -47.14210935786832, -37.44626873184461]",3,0,0.89096284,1,0.785,1,0.97,D,A,FALSE
91,SATACT,"It can reasonably be inferred that after seeing the first man walk on the moon, compared to the narrator of Passage B, the narrator of Passage A felt:",more impressed by the fact that the event was broadcast on television.,more optimistic about future space exploration.,less able to appreciate the celebration surrounding the man on the moon.,less disappointed by the delay in the broadcast.,0.24,"[-136.2349145412445, -81.28431224822998, -135.20941019058228, -85.23738813400269]",1,1,0.88891786,0.75,5.254,0,5.495,B,C,FALSE
92,SATACT,Which choice completes the text with the most logical and precise word or phrase?,speculate about,dismiss,expand on,catalog,0.24,"[-42.203683376312256, -30.743261337280273, -27.564576864242554, -28.99651527404785]",2,2,0.90345204,0,1.157,1,1.464,C,B,FALSE
93,SATACT,Which choice completes the text with the most logical transition?,"For example,","For this reason,","Nowadays,","Similarly,",0.24,"[-17.030312538146973, -17.831308245658875, -18.682061672210693, -13.209566697478294]",3,1,0.8848373,0,0.418,0,0.547,D,A,FALSE
94,SATACT,Which quotation from a participant would best illustrate the researcher’s claim?,"“After I came out of the haunted house, I felt very accomplished and less stressed.”",“My friends kept laughing as we were walking through the haunted house.”,"“The haunted house was scary at first, but I knew everyone was just acting, so I felt less scared after a few minutes.”",“The sense of relief I felt at the end of the haunted house was similar to the feelings I have when I finish a scary movie.”,0.24,"[-58.82744037359953, -56.47482472658157, -89.88561306148767, -71.8432960473001]",1,1,0.92381465,1,2.654,0,3.341,B,C,FALSE
95,SATACT,Which choice most logically completes the text?,conditions of the terrains in the Rio Grande Valley and Mesa Verde had greater similarities in the past than they do today.,some Ancestral Puebloans migrated to the Rio Grande Valley in the late 1200s and carried farming practices with them.,Indigenous peoples living in the Rio Grande Valley primarily planted crops and did not cultivate turkeys before 1280.,the Ancestral Puebloans of Mesa Verde likely adopted the farming practices of Indigenous peoples living in other regions.,0.24,"[-101.04855834040791, -62.539300579577684, -97.88544012606144, -84.30461346404627]",1,2,0.8694544,1,3.033,0,3.851,B,C,FALSE
96,SATACT,Which choice completes the text with the most logical transition?,"In addition,","In contrast,","Specifically,","Therefore,",0.24,"[-13.126991212368011, -17.207104921340942, -13.96346801519394, -14.080795347690582]",0,2,1,0,0.311,1,0.408,A,D,FALSE
97,SATACT,The student wants to contrast the emissivity of reflective metal fibers with that of silicon carbide fibers. Which choice most effectively uses relevant information from the notes to accomplish this goal?,The ability of reflective metal fibers and silicon carbide fibers to emit heat was determined by an analysis of each material's emissivity.,"The amount of heat a material absorbs is equal to the amount it emits, as evidenced in Abebe's analyses.","Though the reflective metal fibers and silicon carbide fibers had different rates of emissivity, Abebe planned to use both in a garment.","Whereas the reflective metal fibers had an emissivity of just 0.02, the silicon carbide fibers absorbed large amounts of heat, resulting in an emissivity of 0.74.",0.24,"[-57.433478739112616, -51.53126964904368, -74.66687022149563, -51.41509101097472]",3,0,0.9077179,1,1.9,1,2.325,D,A,FALSE
98,SATACT,The student wants to explain an advantage of the new platinum catalyst developed by Jianbo Tang and his colleagues. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Researcher Jianbo Tang and his colleagues created a platinum catalyst that combines platinum, a rare and expensive metal, with liquid gallium.","Like other platinum catalysts, the new platinum catalyst requires a particular amount of the metal to be effective.","Platinum is a rare and expensive metal that is used as a catalyst for chemical reactions; however, platinum catalysts typically require a large amount of platinum to be effective.","While still highly effective, the new platinum catalyst requires far less of the rare and expensive metal than do other platinum catalysts.",0.24,"[-34.79369010773371, -50.77041544392705, -64.21803974919021, -68.18099775258452]",0,1,1,1,2.615,1,3.339,A,D,FALSE
99,SATACT,Which choice completes the text with the most logical and precise word or phrase?,selecting,inspecting,creating,deciding,0.24,"[-26.103123664855957, -31.810110092163086, -26.00822162628174, -30.543444633483887]",2,2,0.9997019,0,0.52,1,0.58,C,B,FALSE
100,SATACT,Which choice completes the text with the most logical and precise word or phrase?,involuntarily,beneficially,strenuously,smoothly,0.36,"[-23.596486806869507, -31.921984434127808, -23.99154633283615, -38.29538917541504]",0,1,0.9999999,0,1.218,0,1.47,A,D,FALSE
101,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,"researchers, Roberto Scandone and Christopher Kilburn,","researchers, Roberto Scandone and Christopher Kilburn",researchers Roberto Scandone and Christopher Kilburn,"researchers Roberto Scandone, and Christopher Kilburn",0.36,"[-108.68521690368652, -106.28346300125122, -99.82290613651276, -106.18256068229675]",2,0,0.9612373,1,0.657,0,0.886,C,B,FALSE
102,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,"single-handedly, however;","single-handedly; however,","single-handedly, however,",single-handedly however,0.36,"[-26.740558087825775, -26.640522852540016, -25.067473351955414, -26.5493066906929]",2,0,0.96760476,0,0.137,0,0.167,C,B,FALSE
103,SATACT,Which choice most logically completes the text?,making individual E. esula plants more susceptible to existing chemical herbicides.,enhancing the ecological benefits of E. esula in North America.,enabling cattle to consume E. esula without becoming sick.,reducing invasive E. esula numbers without harming other organisms.,0.36,"[-55.0796110406518, -57.01723891496658, -54.188346203416586, -53.78712819889188]",3,0,0.89598066,0.25,0.249,1,0.323,D,A,FALSE
104,SATACT,"Based on the passage, the information about Luna City and Mars is most likely meant to represent the:",types of advances in space exploration the narrator anticipated would happen next.,plotlines the narrator planned to develop in his science fiction stories.,official plans for space development revealed during the broadcast.,far-fetched fantasies that first inspired the narrator to become a science fiction writer.,0.36,"[-148.37656891345978, -156.551411151886, -106.68138265609741, -175.4220108985901]",2,2,0.8881447,1,5.026,0,6.874,C,B,FALSE
105,SATACT,Which choice most logically completes the text?,obscuring their awareness of the high degree of artifice involved in constructing the montage.,"lessening their identification with the protagonist, if not alienating them from the character altogether.","compelling them to identify with the film’s director, whose proxy is the camera, and not with the protagonist.",diverting their attention away from the film’s content and toward its stylistic attributes.,0.36,"[-72.97409539204091, -47.08700132276863, -88.92764753475785, -65.55620015785098]",1,1,0.87106985,1,3.007,0,4.184,B,C,FALSE
106,SATACT,Which choice completes the text with the most logical and precise word or phrase?,substantial,satisfying,unimportant,appropriate,0.36,"[-30.51005458831787, -39.88841199874878, -15.7212815284729, -15.166422843933105]",3,3,0.99947613,0,2.084,0,2.472,D,A,FALSE
107,SATACT,Which choice completes the text with the most logical and precise word or phrase?,struggling,beneficial,simple,healthy,0.36,"[-44.69149875640869, -34.44708251953125, -14.981489181518555, -15.252389907836914]",2,1,0.99830854,0,2.55,0,2.971,C,B,FALSE
108,SATACT,The student wants to explain an advantage of the infilling technique. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"To remove carvings from sandstone arches in Utah’s Arches National Park, power grinding is not always feasible.","Filling in carvings with ground sandstone and a bonding agent is less invasive than smoothing them away with a power grinder, which can greatly alter or damage the sandstone arches.",Park rangers can use a power grinding technique to smooth away carvings or fill them in with ground sandstone and a bonding agent.,"As methods for removing carvings from sandstone, power grinding and infilling differ in their level of invasiveness.",0.36,"[-61.25294756726362, -51.0179817432072, -64.11070786812343, -67.79681848318432]",1,1,0.88691723,1,1.247,1,1.678,B,C,FALSE
109,SATACT,Which choice most logically completes the text?,a language can protect itself from being influenced by other languages.,the grammar and vocabulary of any given language change from one generation to the next.,geographical isolation can influence how a language develops.,speakers of one dialect of a language can understand speakers of another dialect of that language.,0.36,"[-39.897439405322075, -47.33950373157859, -46.04421281814575, -78.63071601092815]",0,0,1.0000001,1,3.015,0,3.873,A,D,FALSE
110,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,it was,they were,this was,some were,0.36,"[-14.571179866790771, -18.341055870056152, -18.383572101593018, -20.950438499450684]",0,3,1,0.25,0.455,0,0.638,A,D,FALSE
111,SATACT,The student wants to emphasize a similarity between P waves and S waves. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"P waves and S waves both travel beneath Earth’s surface, causing the ground to move.",P waves travel away from an earthquake’s starting point at a higher rate of speed than do S waves. ,"Spreading out from the focus of an earthquake, P waves move the ground backward and forward. ","Although P waves and S waves start at the same point, they behave very differently. ",0.36,"[-41.97657521255314, -62.81336868181825, -54.68279701471329, -42.558552239090204]",0,3,1,1,1.746,1,2.084,A,D,FALSE
112,SATACT,Which choice completes the text with the most logical and precise word or phrase?,circumvents,eclipses,fabricates,exemplifies,0.36,"[-31.14629328250885, -28.53706294298172, -35.885271310806274, -29.741444945335388]",1,3,0.822403,0,0.558,0,0.735,B,C,FALSE
113,SATACT,"The student wants to specify who may have first populated the Azores, according to the 2015 study. Which choice most effectively uses relevant information from the notes to accomplish this goal?","Historians have long believed that the first humans to populate the Azores, a group of islands about 870 miles off the coast of Portugal, arrived in the fifteenth century.",Portuguese mariners may not have been the first humans to populate the Azores.,"In their 2015 study, the researchers found a genetic connection between house mice in the Azores and those in Scandinavia.","According to a 2015 study, the first humans to populate the Azores may have been Vikings from Scandinavia, not mariners from Portugal as previously believed.",0.36,"[-37.23662554170005, -76.51904882397503, -35.68961895447865, -57.297651085071266]",2,2,0.862359,1,3.336,0,4.083,C,B,FALSE
114,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,however but it,however it,"however, it",however. It,0.36,"[-39.346575021743774, -33.02957201004028, -31.93186628818512, -34.25532019138336]",2,2,0.9119191,1,0.568,1,0.741,C,B,FALSE
115,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,asteroids. Several,"asteroids, several",asteroids; several,asteroids: several,0.36,"[-37.91399526596069, -34.27554666996002, -37.40571975708008, -37.950828075408936]",1,2,0.9221565,0,0.305,0,0.368,B,C,FALSE
116,SATACT,"Based on the text, Huang, Seager, and colleagues would most likely agree with which statement about atmospheric NH3?",Its presence is more likely to indicate that a planet is a mini-Neptune than that the planet is a rocky planet that could support life.,Its absence from a planet that’s not a mini-Neptune indicates that the planet probably doesn’t have life.,It should be treated as a biosignature gas if detected in the atmosphere of a rocky planet but not if detected in the atmosphere of a mini-Neptune.,It doesn’t reliably reach high enough concentrations in the atmospheres of rocky planets or mini-Neptunes to be treated as a biosignature gas.,0.36,"[-75.96872314228676, -68.64206912613008, -61.735732667235425, -74.03054453780351]",2,0,0.8873137,1,1.104,1,1.423,C,B,FALSE
117,SATACT,Which choice completes the text with the most logical and precise word or phrase?,engulfs,encourages,comprises,provokes,0.36,"[-29.68949308246374, -45.54330348968506, -29.90542697906494, -12.87219649553299]",3,2,0.8721669,0,2.311,0,3.267,D,A,FALSE
118,SATACT,Which choice completes the text with the most logical and precise word or phrase?,reflect,receive,evaluate,mimic,0.36,"[-14.1876220703125, -28.960061073303223, -14.683477401733398, -33.30552577972412]",0,2,1.0000001,0,1.698,0,1.912,A,D,FALSE
119,SATACT,"Based on the text, in what way is the human mind like a flower?",It becomes increasingly vigorous with the passage of time.,It draws strength from changes in the weather.,It requires proper nourishment in order to thrive.,It perseveres despite challenging circumstances.,0.36,"[-43.75089553184807, -37.55512477457523, -31.30687915533781, -36.96961452625692]",2,0,0.8858062,0.75,0.881,0,1.244,C,B,FALSE
120,SATACT,"The main point made in the second, third, and fourth paragraphs is that the structure of a baby's brain:",is genetically determined before the child is born.,can be seen through positron-emission tomography.,can be altered through a process known as pruning.,is still developing after the child is born.,0.36,"[-28.71087285876274, -40.042082369327545, -35.77092230785638, -24.83917371928692]",3,3,0.9302357,0.75,1.185,1,1.52,D,A,FALSE
121,SATACT,The student wants to describe Adnan’s December from My Window to an audience already familiar with leporellos. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Featuring a panoramic landscape, the 1993 work is one of Adnan’s many leporellos, which are accordion-style folded books that when expanded reveal the artist’s work.","When expanded, Adnan’s 1993 leporello December from My Window reveals a panoramic landscape painted in ink and watercolor.","Known for making many other accordion-style folded books called leporellos, Adnan created December from My Window in 1993.","A leporello, such as Adnan’s December from My Window, is folded accordion style, and due to its zigzag shape it is able to stand on its own when fully expanded.",0.36,"[-100.35749538530945, -62.62067010390456, -92.06136973435059, -71.51124261753284]",1,1,0.8925679,1,3.039,0,3.774,B,C,FALSE
122,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,many critics have focused on Kurosawa’s use of Western literary sources but,"Kurosawa’s use of Western literary sources has been the focus of many critics, who","there are many critics who have focused on Kurosawa’s use of Western literary sources, but they",the focus of many critics has been on Kurosawa’s use of Western literary sources; they,0.36,"[-66.68409248068929, -81.06110339425504, -79.75596986711025, -78.71058574691415]",0,3,1,1,1.152,0,1.438,A,D,FALSE
123,SATACT,"Which choice best describes Gibson’s approach to art, as presented in the text?",He draws from traditional Native art forms to create his original works.,He has been influenced by Native and non-Native artists equally.,He finds inspiration from boxing in designing the dresses he makes.,He rejects expectations about color and pattern when incorporating beadwork.,0.36,"[-50.38286256790161, -56.416003338992596, -67.20687568187714, -63.822078973054886]",0,1,1,1,1.307,1,1.682,A,D,FALSE
124,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,supposed; a,supposed. A,supposed a,"supposed, a",0.36,"[-38.604406118392944, -35.779348731040955, -37.01607704162598, -36.491902589797974]",1,2,0.8852765,1,0.208,1,0.283,B,C,FALSE
125,SATACT,The student wants to explain an advantage of microprobes. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Despite being heavy, NASA's rovers can land successfully on the surface of Mars.","Microprobes, which weigh as little as 50 milligrams, could explore areas of Mars that are inaccessible to NASA's heavy, wheeled rovers.","NASA currently uses its rovers on Mars, but microprobes have been proposed as an alternative.","Though they are different sizes, both microprobes and rovers can be used to explore the surface of Mars.",0.48,"[-50.826751716434956, -54.860661563812755, -55.54023701697588, -59.408067205687985]",0,0,0.9999999,1,0.609,1,0.858,A,D,FALSE
126,SATACT,"If the writer were to change the pronoun ""one"" to ""we"" in the sentence ""Yet one can hear in the music of their descendants, beautiful variations on a musical sound that has survived for many centuries."", this closing sentence would?",indicate that the writer is a descendant of the Incas.,suggest that the essay's audience are all musicians,take on a somewhat more personal tone.,become more clearly a call to action.,0.48,"[-56.83096054196358, -49.05970287322998, -27.5439682751894, -47.03686237335205]",2,1,0.87474185,1,2.157,0,2.929,C,B,FALSE
127,SATACT,What does the text indicate about the discovery of the sandal?,Temperatures contributed to both protecting and revealing the sandal.,The discovery revealed that the Roman Empire had more influence on Norway than archaeologists previously assumed.,Archaeologists would have found the sandal eventually without help from the general public.,The sandal would have degraded if it hadn’t been removed from the ice.,0.48,"[-62.97800766304135, -72.682148873806, -75.97871009260416, -46.40904070716351]",3,0,0.8764823,1,2.298,0,2.957,D,A,FALSE
128,SATACT,"In the sentence ""In 1916, as the Democratic Party’s national convention met in St. Louis, Missouri, to nominate candidates for the presidency and vice-presidency and to establish a platform, a set of positions on issues."", what is the best answer to replace the phrase ""as""?",NO CHANGE,while,when,OMIT the underlined portion.,0.48,"[-19.630162060260773, -14.815679550170898, -14.10867691040039, -33.221028208732605]",2,1,0.8516347,0.5,1.535,0,1.911,C,B,FALSE
129,SATACT,Which choice completes the text with the most logical and precise word or phrase?,recognizable,intriguing,significant,useful,0.48,"[-29.512847900390625, -44.55008125305176, -14.886202812194824, -25.7877197265625]",2,1,0.9993523,0,2.124,0,2.966,C,B,FALSE
130,SATACT,The student wants to present LIGO’s aim and methodology. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"In 2015, LIGO’s massive interferometers detected a powerful ripple that originated in deep space and eventually passed through Earth.","Though the physics study LIGO began in 2002, its massive interferometers didn’t detect a gravitational wave until 2015.","To achieve its aims, LIGO uses a pair of massive interferometers that are thousands of miles apart.","A physics study designed to detect and analyze gravitational waves, LIGO uses a pair of massive interferometers that are thousands of miles apart.",0.48,"[-58.203304906375706, -79.85652179492172, -47.74273662548512, -55.24955607159063]",2,3,0.893722,1,2.388,0,3.211,C,B,FALSE
131,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,people’s stories,peoples story’s,peoples stories,people’s story’s,0.48,"[-27.104558765888214, -48.02377077937126, -36.86582565307617, -33.993984427303076]",0,3,1,0,1.508,0,2.092,A,D,FALSE
132,SATACT,Which choice completes the text with the most logical and precise word or phrase?,unpredictable,important,secretive,ordinary,0.48,"[-54.21164417266846, -12.817302703857422, -31.332913398742676, -15.66051959991455]",1,1,0.99965346,0,3.286,0,4.139,B,C,FALSE
133,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,Smith:,Smith—,Smith,"Smith,",0.48,"[-16.4706974029541, -19.8660831451416, -13.437363624572754, -16.55638837814331]",2,2,0.9784974,0,0.455,0,0.643,C,B,FALSE
134,SATACT,The student wants to contrast first-class levers and second-class levers. Which choice most effectively uses relevant information from the notes to accomplish this goal? ,"In levers, the effort is the force applied to the lever; the load, in contrast, is the force that the lever exerts on another object. ","In first-class and second-class levers, the fulcrum and the load are in different locations. ","First-class levers are simple machines consisting of a rigid beam and a fulcrum, but then again, the same is true of second-class levers. ","In first-class levers, the fulcrum is located between the effort and the load, but in second-class levers, the load is located between the effort and the fulcrum. ",0.48,"[-58.30212451145053, -41.6886864984408, -67.89919827319682, -33.577042603166774]",3,2,0.878929,1,2.697,1,3.432,D,A,FALSE
135,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,pressure on lawmakers increased when the activists staged a sit-in protest,a sit-in protest staged by the activists increased pressure on lawmakers,lawmakers came under increased pressure when the activists staged a sit-in protest,the activists increased pressure on lawmakers by staging a sit-in protest,0.48,"[-54.442386135458946, -53.62961828708649, -68.59393594413996, -43.55104784667492]",3,3,0.938908,1,1.783,0,2.504,D,A,FALSE
136,SATACT,"Which quotation from an art critic most directly challenges the claim in the text, “In his 1950 masterpiece History of Mexico, Medellín fuses these influences into a style so idiosyncratic that it resists efforts to view his work through the lens of nationality or cultural identity.”?","“Although a number of ancient Indigenous artistic traditions pictured human forms in profile, the forms populating the surface of A History of Mexico suggest a specifically Maya influence.”","“In A History of Mexico, the synthesis of ancient and modernist traditions functions as a stylistic parallel to the work’s subject matter: a survey of centuries of Mexican history.”",“Many critics focus on Indigenous influences in A History of Mexico and other key works by Medellín to the exclusion of influences from non-Indigenous art.”,"“While A History of Mexico features modernist motifs, it relies primarily on angular human forms in profile—a staple of Maya sculpture—and thus invites classification as Indigenous art.”",0.48,"[-153.6316118184477, -124.1499731875956, -117.22110485922894, -155.61703610606492]",2,0,0.8911839,1,3.432,0,3.84,C,B,FALSE
137,SATACT,The student wants to begin a narrative about Wong’s award-nominated web series. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"In 2012, director and visual effects artist Freddie Wong launched a new action-comedy web series: Video Game High School.","Video Game High School was celebrated for its inventive video game–centric world and high-quality special effects, and it was nominated for a Producer’s Guild Award for Outstanding Digital Series.","Wong, cocreator of the YouTube channel RocketJump, would go on to see his web series be nominated for a Producers Guild Award.","In 2012, Video Game High School premiered on RocketJump; it would later be nominated for an award.",0.48,"[-56.61496952265588, -52.19935959320719, -104.46764782816172, -57.92152301967144]",1,2,0.86814094,1,4.255,1,5.227,B,C,FALSE
